case_id,fault_type,concept_tag,osi_layer,severity,symptom,topology_note,show_output,expected_root_cause,expected_next_command,expected_fix
CASE001,VLAN,VLAN tagging / access port mismatch,Layer 2,High,"PC1 in VLAN 30 cannot ping PC2 also in VLAN 30, but can ping its own gateway.","SW1 connects PC1 (Fa0/2) and PC2 (Fa0/4). Both should be in VLAN 30.","show vlan brief output shows Fa0/2 assigned to VLAN 30, Fa0/4 assigned to VLAN 10 (default).","Fa0/4 was never moved into VLAN 30, so PC2 is isolated in the wrong broadcast domain.","show vlan brief","Run 'interface fa0/4' then 'switchport access vlan 30' on SW1 to correct the port assignment."
CASE002,Gateway,Default gateway misconfiguration,Layer 3,High,"PC gets a valid IP via DHCP but cannot reach any device outside its own subnet, including the gateway.","PC on VLAN 20, SVI for VLAN 20 configured on distribution switch as 192.168.20.1/24.","show ip interface brief on PC shows gateway set to 192.168.20.2 (wrong); SVI on switch is actually .1 and shows up/up.","PC's DHCP scope or static config has the wrong default gateway IP, so all off-subnet traffic is dropped locally.","show running-config | section dhcp","Correct the DHCP pool's default-router statement (or static IP config) to 192.168.20.1."
CASE003,DHCP,DHCP pool exhaustion,Layer 3,Medium,"New PCs joining VLAN 40 fail to get an IP address and show APIPA (169.254.x.x).","VLAN 40 has 50 hosts; DHCP pool was configured early in the project for only 20 addresses.","show ip dhcp pool VLAN40 shows 'Current index' at the end of the range, 0 addresses leased available.","DHCP pool for VLAN 40 is exhausted; no addresses remain to lease to new clients.","show ip dhcp pool","Expand the DHCP pool network statement (e.g. widen the /26 to a /24) or exclude fewer addresses in the pool."
CASE004,DNS,Missing DNS server configuration,Layer 7,Low,"Users can ping the web server by IP successfully but the browser cannot resolve the server's hostname.","DHCP scope for VLAN 10 was set up without a dns-server option.","show running-config | section dhcp shows no 'dns-server' line under the VLAN10 pool.","Clients never received a DNS server address from DHCP, so name resolution fails while IP connectivity works fine.","show ip dhcp pool","Add 'dns-server <ip>' to the DHCP pool configuration for VLAN 10."
CASE005,Routing,Missing static route,Layer 3,High,"HQ router can ping its own subnets but cannot reach the Branch office subnet 172.16.5.0/24.","Two routers connected via serial link; no dynamic routing protocol configured, static routes expected.","show ip route on HQ router has no entry for 172.16.5.0/24; only connected routes are listed.","No static (or dynamic) route exists at HQ pointing toward the Branch subnet, so packets are dropped locally.","show ip route","Add 'ip route 172.16.5.0 255.255.255.0 <next-hop-or-exit-interface>' on the HQ router."
CASE006,ACL,Overly restrictive access list,Layer 4,High,"PC in VLAN 30 can reach the gateway and can traceroute to the server subnet, but TCP connections to the server on port 443 time out.","Router has an inbound ACL applied on the server-facing interface intended to allow only HTTP.","show access-lists shows 'permit tcp any any eq 80' but no matching line for port 443; implicit deny hits the HTTPS traffic (match count incrementing on deny)","ACL on the server interface permits port 80 but not 443, so HTTPS traffic is silently dropped by the implicit deny.","show access-lists","Add 'permit tcp any any eq 443' to the ACL, above the implicit deny, or edit the existing permit line."
CASE007,NAT,Missing NAT translation for outbound traffic,Layer 3,Medium,"Internal hosts on 10.10.10.0/24 can reach each other but cannot reach the internet/ISP-simulated server.","Router has a NAT-capable outside interface but overload NAT was never enabled.","show ip nat translations returns empty; show run shows 'ip nat inside'/'ip nat outside' set on interfaces but no 'ip nat inside source list' statement.","No NAT overload (PAT) configuration exists, so internal private addresses are never translated for outbound traffic.","show ip nat translations","Configure 'ip nat inside source list <acl> interface <outside-int> overload' on the router."
CASE008,Wireless,SSID on wrong VLAN / guest isolation failure,Layer 2,Medium,"Guest Wi-Fi users can reach the internal file server, which should not be permitted.","WLC has Guest SSID mapped to VLAN 99 intended for internet-only access; internal server is on VLAN 10.","show vlan brief / WLC interface mapping shows Guest SSID interface mistakenly mapped to VLAN 10 instead of VLAN 99.","Guest SSID's VLAN mapping on the WLC/AP was misconfigured to the internal VLAN instead of the isolated guest VLAN.","show running-config interface wireless","Remap the Guest SSID to VLAN 99 on the WLC and confirm ACL isolation is applied to that VLAN."
CASE009,Interface,Interface administratively down,Layer 1,High,"PC connected to Fa0/6 on SW2 has no link light and gets no IP address at all.","Port was previously used for a decommissioned device and was shut down by a technician.","show interfaces Fa0/6 status shows 'disabled'; show run confirms 'shutdown' under the interface.","The interface was left in shutdown state from prior configuration, so no Layer 1 link can form.","show interfaces status","Enter interface configuration mode for Fa0/6 and run 'no shutdown'."
CASE010,Trunk,Native VLAN mismatch on trunk link,Layer 2,Medium,"Intermittent connectivity issues and CDP native VLAN mismatch warnings appear between two switches; some VLANs work, others do not.","Trunk link between SW1 and SW2 carries VLANs 10,20,30.","show interfaces trunk shows SW1 native VLAN 1, SW2 native VLAN 99 on the same trunk link; syslog shows native VLAN mismatch messages.","Native VLAN configured differently on each end of the trunk causes untagged traffic to land in the wrong VLAN.","show interfaces trunk","Set the native VLAN to match on both ends of the trunk (e.g. 'switchport trunk native vlan 99' on both switches)."
